epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9428,3.07959,3.83249,1.80125,0.01191,0.01805,0.00696,0.00293,3.42967,3.72313,1.50574,0.00330508,0.00330508,0.0702542
2,75.0993,3.30677,3.5374,1.54289,0.03368,0.06808,0.02171,0.0071,3.36151,3.10171,1.47452,0.00630982,0.00630982,0.0399256
3,116.1,3.41118,3.10821,1.45333,0.03447,0.06363,0.02418,0.00845,3.31264,2.68464,1.48526,0.00898455,0.00898455,0.00926703
4,151.787,3.30401,2.7716,1.4199,0.05172,0.08712,0.0375,0.0137,3.2938,2.49679,1.37946,0.008515,0.008515,0.008515
5,194.324,3.39975,2.53023,1.40582,0.0532,0.08561,0.03632,0.0138,3.26415,2.53711,1.39016,0.00802,0.00802,0.00802
6,230.181,3.22923,2.39138,1.40244,0.06252,0.0999,0.04374,0.01419,3.42748,2.18003,1.30909,0.007525,0.007525,0.007525
7,263.416,3.42946,2.27732,1.3768,0.08652,0.10937,0.05389,0.01939,3.17793,2.19928,1.31685,0.00703,0.00703,0.00703
8,299.446,3.37432,2.14725,1.34606,0.1203,0.09716,0.05851,0.02119,3.17956,1.94594,1.28145,0.006535,0.006535,0.006535
9,330.25,3.26897,2.10714,1.31836,0.13229,0.0996,0.06364,0.02355,3.22183,1.90752,1.25485,0.00604,0.00604,0.00604
10,363.178,3.30935,2.12353,1.32531,0.14059,0.09732,0.06371,0.02249,3.23197,1.88961,1.25543,0.005545,0.005545,0.005545
11,401.7,3.30203,2.18369,1.27644,0.15144,0.09996,0.06591,0.02325,3.19444,1.98304,1.23801,0.00505,0.00505,0.00505
12,446.025,3.26755,2.12046,1.25905,0.15385,0.10237,0.06918,0.02575,3.13821,2.04514,1.2446,0.004555,0.004555,0.004555
13,479.54,3.22173,2.06374,1.24642,0.16406,0.10071,0.07017,0.02596,3.09633,1.95322,1.24098,0.00406,0.00406,0.00406
14,514.617,3.18616,2.13742,1.2518,0.17264,0.09884,0.07243,0.02812,3.04167,1.92751,1.24797,0.003565,0.003565,0.003565
15,548.196,3.15295,2.04816,1.24883,0.17247,0.10354,0.07775,0.03001,3.05561,1.83652,1.2135,0.00307,0.00307,0.00307
16,583.494,3.19896,2.05486,1.24842,0.18401,0.10877,0.08278,0.03295,3.04072,1.81348,1.19444,0.002575,0.002575,0.002575
17,618.258,3.13876,1.98369,1.23075,0.19501,0.10361,0.08292,0.03254,3.00407,1.80446,1.22043,0.00208,0.00208,0.00208
18,651.293,3.15229,1.98974,1.22429,0.19656,0.11109,0.08866,0.03541,3.02756,1.76169,1.19382,0.001585,0.001585,0.001585
19,683.688,3.11914,1.98893,1.21257,0.20056,0.11005,0.08716,0.03468,3.02015,1.77687,1.20111,0.00109,0.00109,0.00109
20,714.053,3.09268,1.96505,1.21739,0.1973,0.11057,0.08722,0.03501,3.01992,1.78632,1.19802,0.000595,0.000595,0.000595
